Crop,Season,State,Soil_Type,Area,Cost_per_Hectare
Groundnut,Kharif,Andhra Pradesh,Loamy,1.37,40271
Sesame,Rabi,Odisha,Black,1.35,23652
Lentil,Annual,Andhra Pradesh,Black,1.91,25773
Banana,Rabi,Andhra Pradesh,Black,1.23,116860
Turmeric,Rabi,Maharashtra,Clay,0.79,84013
Sunflower,Kharif,Karnataka,Loamy,2.13,32759
Lentil,Kharif,Tamil Nadu,Alluvial,2.63,27281
Tobacco,Annual,Madhya Pradesh,Loamy,2.83,59605
Groundnut,Kharif,Karnataka,Alluvial,2.93,39890
Carrot,Kharif,Uttar Pradesh,Black,2.45,34092
Horse Gram,Rabi,Andhra Pradesh,Sandy,0.85,21014
Cabbage,Kharif,Maharashtra,Sandy,2.63,48489
Turmeric,Annual,Uttar Pradesh,Alluvial,1.5,88809
Turmeric,Rabi,Odisha,Black,2.32,84984
Brinjal,Annual,Tamil Nadu,Loamy,1.83,49159
Tobacco,Rabi,Madhya Pradesh,Sandy,2.57,57635
Wheat,Kharif,Odisha,Alluvial,1.56,32587
Sunflower,Rabi,Maharashtra,Loamy,0.65,34317
Brinjal,Rabi,Tamil Nadu,Black,1.89,48010
Ragi,Kharif,Uttar Pradesh,Red,0.93,24618
Tomato,Kharif,Andhra Pradesh,Black,2.91,46607
Tobacco,Annual,Andhra Pradesh,Clay,1.82,54621
Maize,Annual,Rajasthan,Black,1.88,25450
Brinjal,Kharif,Andhra Pradesh,Loamy,2.77,47869
Chillies,Kharif,Punjab,Loamy,2.06,52423
Beans,Kharif,Andhra Pradesh,Laterite,1.26,25308
Cotton,Rabi,Punjab,Laterite,1.24,48024
Maize,Rabi,Telangana,Loamy,1.75,27672
Jowar,Rabi,Punjab,Loamy,2.67,25643
Tobacco,Kharif,Tamil Nadu,Red,2.49,62029
Rice,Annual,Odisha,Red,2.91,26132
Chillies,Kharif,Tamil Nadu,Black,0.68,53595
Carrot,Rabi,Odisha,Clay,1.17,31001
Tomato,Rabi,Rajasthan,Sandy,0.7,53276
Lentil,Kharif,Telangana,Clay,2.38,26658
Chillies,Kharif,Odisha,Red,0.85,54924
Peas,Rabi,Odisha,Black,0.75,27931
Green Gram,Rabi,Maharashtra,Clay,1.9,22934
Bajra,Rabi,Karnataka,Alluvial,1.53,21747
Bajra,Kharif,Karnataka,Laterite,2.29,22652
Mustard,Rabi,Maharashtra,Clay,1.72,31646
Jowar,Rabi,Andhra Pradesh,Sandy,1.56,24861
Jowar,Annual,Maharashtra,Black,1.56,26125
Paddy,Kharif,Odisha,Clay,2.68,28250
Banana,Annual,Odisha,Loamy,1.49,125400
Beans,Annual,Maharashtra,Alluvial,1.33,28186
Beans,Rabi,Maharashtra,Laterite,1.35,26993
Banana,Kharif,Andhra Pradesh,Alluvial,0.99,125068
Beans,Rabi,Tamil Nadu,Black,2.65,27493
Horse Gram,Kharif,Telangana,Red,0.87,23269
Chillies,Annual,Uttar Pradesh,Laterite,2.77,52977
Cabbage,Kharif,Odisha,Alluvial,1.21,46024
Sesame,Rabi,Telangana,Red,2.75,24231
Peas,Rabi,Maharashtra,Sandy,2.48,31507
Ragi,Rabi,Andhra Pradesh,Black,1.95,27881
Sugarcane,Kharif,Punjab,Black,2.17,91965
Horse Gram,Annual,Andhra Pradesh,Laterite,1.31,20809
Groundnut,Annual,Madhya Pradesh,Alluvial,1.94,40338
Tobacco,Kharif,Madhya Pradesh,Sandy,1.23,56678
Soybean,Rabi,Telangana,Loamy,1.51,31560
Groundnut,Annual,Karnataka,Laterite,2.41,35347
Black Gram,Rabi,Madhya Pradesh,Loamy,1.11,22800
Wheat,Kharif,Madhya Pradesh,Laterite,2.6,32674
Peas,Rabi,Tamil Nadu,Alluvial,1.44,29403
Jowar,Annual,Punjab,Sandy,1.83,24660
Garlic,Annual,Tamil Nadu,Alluvial,2.85,54379
Black Gram,Rabi,Punjab,Black,2.2,22245
Carrot,Kharif,Rajasthan,Loamy,2.11,29781
Soybean,Rabi,Uttar Pradesh,Red,2.28,34489
Carrot,Kharif,Odisha,Clay,2.8,33053
Tobacco,Rabi,Madhya Pradesh,Black,1.12,56404
Maize,Annual,Odisha,Black,2.03,25964
Sesame,Kharif,Madhya Pradesh,Loamy,1.5,23917
Jowar,Kharif,Tamil Nadu,Laterite,0.53,25132
Banana,Kharif,Uttar Pradesh,Black,0.81,115101
Jowar,Annual,Tamil Nadu,Clay,1.31,24561
Groundnut,Rabi,Tamil Nadu,Sandy,1.91,35892
Chillies,Annual,Punjab,Black,2.7,59012
Lentil,Kharif,Karnataka,Sandy,2.48,25177
Sunflower,Rabi,Andhra Pradesh,Alluvial,1.88,34990
Banana,Annual,Telangana,Laterite,0.68,114527
Ragi,Kharif,Odisha,Sandy,1.21,24447
Garlic,Kharif,Rajasthan,Black,1.42,52562
Green Gram,Annual,Madhya Pradesh,Laterite,2.05,23430
Wheat,Annual,Tamil Nadu,Clay,0.66,32751
Black Gram,Annual,Karnataka,Laterite,1.83,24392
Sunflower,Kharif,Tamil Nadu,Sandy,2.75,32833
Wheat,Annual,Uttar Pradesh,Sandy,2.26,32674
Maize,Kharif,Punjab,Red,2.49,25408
Beans,Annual,Rajasthan,Red,2.2,25082
Cotton,Kharif,Andhra Pradesh,Laterite,1.02,47860
Tomato,Kharif,Uttar Pradesh,Loamy,0.78,53087
Mustard,Rabi,Maharashtra,Loamy,2.57,30667
Wheat,Annual,Rajasthan,Red,2.24,33195
Tomato,Annual,Tamil Nadu,Black,1.94,53834
Lentil,Kharif,Uttar Pradesh,Alluvial,0.97,24255
Black Gram,Kharif,Andhra Pradesh,Laterite,2.01,25179
Carrot,Kharif,Karnataka,Alluvial,0.58,32245
Chillies,Rabi,Karnataka,Red,0.8,58959
Maize,Rabi,Odisha,Sandy,1.28,27235
Mustard,Kharif,Andhra Pradesh,Clay,1.61,30029
Beans,Annual,Karnataka,Laterite,0.8,27444
Wheat,Annual,Uttar Pradesh,Red,0.8,30939
Garlic,Rabi,Odisha,Black,2.31,54432
Paddy,Rabi,Karnataka,Clay,1.92,27084
Banana,Kharif,Rajasthan,Laterite,1.83,119724
Sunflower,Annual,Punjab,Laterite,1.63,32458
Garlic,Kharif,Maharashtra,Loamy,2.94,49534
Cabbage,Rabi,Andhra Pradesh,Sandy,0.62,45205
Jowar,Annual,Uttar Pradesh,Laterite,0.95,22978
Peas,Annual,Madhya Pradesh,Sandy,2.12,29689
Beans,Rabi,Tamil Nadu,Red,0.84,26527
Sunflower,Kharif,Uttar Pradesh,Black,1.97,32696
Tobacco,Kharif,Karnataka,Clay,1.92,56388
Paddy,Annual,Uttar Pradesh,Clay,2.93,30603
Onion,Rabi,Madhya Pradesh,Black,2.71,46397
Black Gram,Annual,Tamil Nadu,Laterite,2.86,22902
Banana,Rabi,Odisha,Laterite,0.78,114645
Tobacco,Kharif,Karnataka,Red,2.67,55422
Brinjal,Rabi,Telangana,Loamy,0.82,49580
Carrot,Kharif,Karnataka,Loamy,2.08,31155
Peas,Rabi,Maharashtra,Loamy,2.3,29516
